,firm_name,crno,brno,ticker
119,현대위아,1942110000125.0,609-81-01770,011210
120,금호타이어,1101112810590.0,101-81-95610,073240
121,브이티,1101110509872.0,202-81-35574,018290
122,태광산업,1101110185276.0,203-81-43626,003240
123,오스코텍,1615110028691.0,312-81-32175,039200
124,HD현대건설기계,1101116363868.0,528-88-00622,267270
125,한일시멘트,1101116799203.0,463-87-01012,300720
126,한국카본,1801110054691.0,615-81-01585,017960
127,SK케미칼,1311110501021.0,846-81-00915,285130
128,HK이노엔,1101115379692.0,201-86-38914,195940
129,이수스페셜티케미컬,1101118626561.0,631-81-03101,457190
130,에스디바이오센서,1358110191121.0,135-86-13315,137310
131,롯데칠성,1101110003684.0,214-81-07770,005300
132,코오롱인더,1353110013606.0,138-81-56604,120110
133,엔켐,1512110026289.0,304-81-25799,348370
134,종근당,1101115260669.0,110-86-08069,185750
135,SK오션플랜트,1913110003485.0,615-81-06111,100090
136,롯데에너지머티리얼즈,2149110003625.0,403-81-03729,020150
137,메디톡스,1648110016928.0,312-81-42130,086900
138,서진시스템,1201110447781.0,122-81-97712,178320
139,세아베스틸지주,1101110035794.0,113-81-06798,001430
140,코스모신소재,1201110018251.0,137-81-01917,005070
141,비에이치아이,1943110006262.0,615-81-08287,083650
142,티씨케이,1346110007844.0,125-81-19772,064760
143,원텍,1101117232799.0,496-88-01552,336570
144,롯데웰푸드,1101116536481.0,186-81-00924,280360
145,DL,1101110084915.0,116-81-35007,000210
146,로보티즈,1101111670044.0,209-81-22390,108490
147,경동나비엔,1347110001159.0,125-81-01234,009450
148,하이젠알앤엠,1942110088197.0,609-81-79792,160190
149,테크윙,1348110072942.0,124-81-98532,089030
150,효성티앤씨,1101116770138.0,880-87-01070,298020
151,대주전자재료,1301110007616.0,133-81-23923,078600
152,가온전선,1341110000567.0,123-81-00049,000500
153,LX세미콘,1601110089395.0,314-81-29147,108320
154,유진테크,1351110051329.0,123-81-53245,084370
155,에스앤에스텍,1311110057925.0,129-81-40113,101490
156,고영,1101112508088.0,104-81-71655,098460
157,롯데정밀화학,1812110000013.0,610-81-00029,004000
158,덕산네오룩스,1615110176036.0,312-86-74729,213420
159,세방전지,1101110202765.0,220-81-00490,004490
160,제이앤티씨,1101111334583.0,119-81-22651,204270
161,대덕전자,1314110460809.0,674-87-01704,353200
162,와이씨,1101115869346.0,283-86-00313,232140
163,차바이오텍,1345110065662.0,135-81-58340,085660
164,SNT모티브,1801110396069.0,621-81-47887,064960
165,동원시스템즈,1341110011712.0,123-81-15163,014820
166,국일제지,1345110001377.0,135-81-01449,078130
167,HS효성첨단소재,1101116770170.0,198-87-00929,298050
168,에스에프에이,1942110032714.0,609-81-35227,056190
169,동원F&B,1101112101816.0,214-86-68729,049770
170,유일로보틱스,1201110592130.0,121-86-13562,388720
171,태성,1101117067972.0,737-86-01274,323280
172,아이쓰리시스템,1601110072738.0,314-81-23158,214430
173,영풍,1101110003824.0,211-81-11275,000670
174,동국제약,1101110094477.0,120-81-22608,086450
175,빙그레,1152110000287.0,132-81-00631,005180
176,대상,1101110327125.0,109-81-14886,001680
177,파미셀,1601110005177.0,314-81-00664,005690
178,STX엔진,1942110066763.0,609-81-62781,077970
179,심텍,1501110205802.0,133-88-00123,222800
180,엘앤씨바이오,1311110288992.0,129-86-64008,290650
181,솔루엠,1358110272682.0,490-81-00105,248070
182,성광벤드,1801110036425.0,603-81-07330,014620
183,필옵틱스,1351110088083.0,123-86-13175,161580
184,레이크머티리얼즈,1101116525723.0,893-86-00629,281740
185,미원상사,1301110007707.0,134-81-02843,002840
186,SNT에너지,1942110090598.0,609-81-81774,100840
187,펌텍코리아,1211110088451.0,130-81-80997,251970
188,피에스케이홀딩스,1347110004377.0,125-81-06879,031980
189,RFHIC,1101115695337.0,693-81-00117,218410
190,미원에스씨,2101110123944.0,778-87-00797,268280
191,피엔티,1752110017454.0,513-81-32083,137400
192,KG모빌리티,1101110035132.0,125-81-14248,003620
193,덴티움,1351110052892.0,123-81-57732,145720
194,보령,1101110012560.0,208-81-00281,003850
195,신풍제약,1301110011815.0,134-81-03819,019170
196,하나마이크론,1648110021208.0,312-81-50630,067310
197,전진건설로봇,1101111807910.0,114-81-92507,079900
198,코스메카코리아,1545110016091.0,303-81-24119,241710
199,비올,1101117221677.0,126-86-82517,335890
200,LS머트리얼즈,1341110570437.0,737-87-01854,417200
